year,lad_code,lad_name,region,nation,median_gross_annual_earnings
2022,E07000201,Mid Suffolk,East of England,E,30795.0
2023,E07000201,Mid Suffolk,East of England,E,31718.0
2024,E07000201,Mid Suffolk,East of England,E,32670.0
2010,E07000202,East Suffolk,East of England,E,24232.0
2011,E07000202,East Suffolk,East of England,E,24911.0
2012,E07000202,East Suffolk,East of England,E,25608.0
2013,E07000202,East Suffolk,East of England,E,26325.0
2014,E07000202,East Suffolk,East of England,E,27062.0
2015,E07000202,East Suffolk,East of England,E,27820.0
2016,E07000202,East Suffolk,East of England,E,28654.0
2017,E07000202,East Suffolk,East of England,E,29514.0
2018,E07000202,East Suffolk,East of England,E,30399.0
2019,E07000202,East Suffolk,East of England,E,31311.0
2020,E07000202,East Suffolk,East of England,E,32251.0
2021,E07000202,East Suffolk,East of England,E,33218.0
2022,E07000202,East Suffolk,East of England,E,34215.0
2023,E07000202,East Suffolk,East of England,E,35241.0
2024,E07000202,East Suffolk,East of England,E,36298.0
2010,E07000203,West Suffolk,East of England,E,23052.0
2011,E07000203,West Suffolk,East of England,E,23697.0
2012,E07000203,West Suffolk,East of England,E,24361.0
2013,E07000203,West Suffolk,East of England,E,25043.0
2014,E07000203,West Suffolk,East of England,E,25744.0
2015,E07000203,West Suffolk,East of England,E,26465.0
2016,E07000203,West Suffolk,East of England,E,27259.0
2017,E07000203,West Suffolk,East of England,E,28077.0
2018,E07000203,West Suffolk,East of England,E,28919.0
2019,E07000203,West Suffolk,East of England,E,29787.0
2020,E07000203,West Suffolk,East of England,E,30681.0
2021,E07000203,West Suffolk,East of England,E,31601.0
2022,E07000203,West Suffolk,East of England,E,32549.0
2023,E07000203,West Suffolk,East of England,E,33526.0
2024,E07000203,West Suffolk,East of England,E,34531.0
2010,E07000207,Elmbridge,South East,E,35929.0
2011,E07000207,Elmbridge,South East,E,36935.0
2012,E07000207,Elmbridge,South East,E,37969.0
2013,E07000207,Elmbridge,South East,E,39033.0
2014,E07000207,Elmbridge,South East,E,40125.0
2015,E07000207,Elmbridge,South East,E,41249.0
2016,E07000207,Elmbridge,South East,E,42487.0
2017,E07000207,Elmbridge,South East,E,43761.0
2018,E07000207,Elmbridge,South East,E,45074.0
2019,E07000207,Elmbridge,South East,E,46426.0
2020,E07000207,Elmbridge,South East,E,47819.0
2021,E07000207,Elmbridge,South East,E,49254.0
2022,E07000207,Elmbridge,South East,E,50731.0
2023,E07000207,Elmbridge,South East,E,52253.0
2024,E07000207,Elmbridge,South East,E,53821.0
2010,E07000208,Epsom and Ewell,South East,E,27288.0
2011,E07000208,Epsom and Ewell,South East,E,28052.0
2012,E07000208,Epsom and Ewell,South East,E,28837.0
2013,E07000208,Epsom and Ewell,South East,E,29645.0
2014,E07000208,Epsom and Ewell,South East,E,30475.0
2015,E07000208,Epsom and Ewell,South East,E,31328.0
2016,E07000208,Epsom and Ewell,South East,E,32268.0
2017,E07000208,Epsom and Ewell,South East,E,33236.0
2018,E07000208,Epsom and Ewell,South East,E,34233.0
2019,E07000208,Epsom and Ewell,South East,E,35260.0
2020,E07000208,Epsom and Ewell,South East,E,36318.0
2021,E07000208,Epsom and Ewell,South East,E,37407.0
2022,E07000208,Epsom and Ewell,South East,E,38529.0
2023,E07000208,Epsom and Ewell,South East,E,39685.0
2024,E07000208,Epsom and Ewell,South East,E,40876.0
2010,E07000209,Guildford,South East,E,31798.0
2011,E07000209,Guildford,South East,E,32688.0
2012,E07000209,Guildford,South East,E,33604.0
2013,E07000209,Guildford,South East,E,34544.0
2014,E07000209,Guildford,South East,E,35512.0
2015,E07000209,Guildford,South East,E,36506.0
2016,E07000209,Guildford,South East,E,37601.0
2017,E07000209,Guildford,South East,E,38729.0
2018,E07000209,Guildford,South East,E,39891.0
2019,E07000209,Guildford,South East,E,41088.0
2020,E07000209,Guildford,South East,E,42320.0
2021,E07000209,Guildford,South East,E,43590.0
2022,E07000209,Guildford,South East,E,44898.0
2023,E07000209,Guildford,South East,E,46244.0
2024,E07000209,Guildford,South East,E,47632.0
2010,E07000210,Mole Valley,South East,E,27103.0
2011,E07000210,Mole Valley,South East,E,27862.0
2012,E07000210,Mole Valley,South East,E,28642.0
2013,E07000210,Mole Valley,South East,E,29444.0
2014,E07000210,Mole Valley,South East,E,30268.0
2015,E07000210,Mole Valley,South East,E,31116.0
2016,E07000210,Mole Valley,South East,E,32049.0
2017,E07000210,Mole Valley,South East,E,33011.0
2018,E07000210,Mole Valley,South East,E,34001.0
2019,E07000210,Mole Valley,South East,E,35021.0
2020,E07000210,Mole Valley,South East,E,36072.0
2021,E07000210,Mole Valley,South East,E,37154.0
2022,E07000210,Mole Valley,South East,E,38268.0
2023,E07000210,Mole Valley,South East,E,39416.0
2024,E07000210,Mole Valley,South East,E,40599.0
2010,E07000211,Reigate and Banstead,South East,E,27452.0
2011,E07000211,Reigate and Banstead,South East,E,28221.0
2012,E07000211,Reigate and Banstead,South East,E,29011.0
2013,E07000211,Reigate and Banstead,South East,E,29824.0
2014,E07000211,Reigate and Banstead,South East,E,30659.0
2015,E07000211,Reigate and Banstead,South East,E,31517.0
2016,E07000211,Reigate and Banstead,South East,E,32463.0
2017,E07000211,Reigate and Banstead,South East,E,33437.0
2018,E07000211,Reigate and Banstead,South East,E,34440.0
2019,E07000211,Reigate and Banstead,South East,E,35473.0
2020,E07000211,Reigate and Banstead,South East,E,36537.0
2021,E07000211,Reigate and Banstead,South East,E,37633.0
2022,E07000211,Reigate and Banstead,South East,E,38762.0
2023,E07000211,Reigate and Banstead,South East,E,39925.0
2024,E07000211,Reigate and Banstead,South East,E,41123.0
2010,E07000212,Runnymede,South East,E,29220.0
2011,E07000212,Runnymede,South East,E,30038.0
2012,E07000212,Runnymede,South East,E,30879.0
2013,E07000212,Runnymede,South East,E,31743.0
2014,E07000212,Runnymede,South East,E,32632.0
2015,E07000212,Runnymede,South East,E,33546.0
2016,E07000212,Runnymede,South East,E,34553.0
2017,E07000212,Runnymede,South East,E,35589.0
2018,E07000212,Runnymede,South East,E,36657.0
2019,E07000212,Runnymede,South East,E,37756.0
2020,E07000212,Runnymede,South East,E,38889.0
2021,E07000212,Runnymede,South East,E,40056.0
2022,E07000212,Runnymede,South East,E,41258.0
2023,E07000212,Runnymede,South East,E,42495.0
2024,E07000212,Runnymede,South East,E,43770.0
2010,E07000213,Spelthorne,South East,E,23261.0
2011,E07000213,Spelthorne,South East,E,23912.0
2012,E07000213,Spelthorne,South East,E,24582.0
2013,E07000213,Spelthorne,South East,E,25270.0
2014,E07000213,Spelthorne,South East,E,25978.0
2015,E07000213,Spelthorne,South East,E,26705.0
2016,E07000213,Spelthorne,South East,E,27506.0
2017,E07000213,Spelthorne,South East,E,28331.0
2018,E07000213,Spelthorne,South East,E,29181.0
2019,E07000213,Spelthorne,South East,E,30057.0
2020,E07000213,Spelthorne,South East,E,30958.0
2021,E07000213,Spelthorne,South East,E,31887.0
2022,E07000213,Spelthorne,South East,E,32844.0
2023,E07000213,Spelthorne,South East,E,33829.0
2024,E07000213,Spelthorne,South East,E,34844.0
2010,E07000214,Surrey Heath,South East,E,26729.0
2011,E07000214,Surrey Heath,South East,E,27477.0
2012,E07000214,Surrey Heath,South East,E,28246.0
2013,E07000214,Surrey Heath,South East,E,29037.0
2014,E07000214,Surrey Heath,South East,E,29850.0
2015,E07000214,Surrey Heath,South East,E,30686.0
2016,E07000214,Surrey Heath,South East,E,31606.0
2017,E07000214,Surrey Heath,South East,E,32555.0
2018,E07000214,Surrey Heath,South East,E,33531.0
2019,E07000214,Surrey Heath,South East,E,34537.0
2020,E07000214,Surrey Heath,South East,E,35573.0
2021,E07000214,Surrey Heath,South East,E,36640.0
2022,E07000214,Surrey Heath,South East,E,37740.0
2023,E07000214,Surrey Heath,South East,E,38872.0
2024,E07000214,Surrey Heath,South East,E,40038.0
2010,E07000215,Tandridge,South East,E,21737.0
2011,E07000215,Tandridge,South East,E,22346.0
2012,E07000215,Tandridge,South East,E,22972.0
2013,E07000215,Tandridge,South East,E,23615.0
2014,E07000215,Tandridge,South East,E,24276.0
2015,E07000215,Tandridge,South East,E,24956.0
2016,E07000215,Tandridge,South East,E,25705.0
2017,E07000215,Tandridge,South East,E,26476.0
2018,E07000215,Tandridge,South East,E,27270.0
2019,E07000215,Tandridge,South East,E,28088.0
2020,E07000215,Tandridge,South East,E,28931.0
2021,E07000215,Tandridge,South East,E,29799.0
2022,E07000215,Tandridge,South East,E,30693.0
2023,E07000215,Tandridge,South East,E,31613.0
2024,E07000215,Tandridge,South East,E,32562.0
2010,E07000216,Waverley,South East,E,27010.0
2011,E07000216,Waverley,South East,E,27766.0
2012,E07000216,Waverley,South East,E,28544.0
2013,E07000216,Waverley,South East,E,29343.0
2014,E07000216,Waverley,South East,E,30164.0
2015,E07000216,Waverley,South East,E,31009.0
2016,E07000216,Waverley,South East,E,31939.0
2017,E07000216,Waverley,South East,E,32897.0
2018,E07000216,Waverley,South East,E,33884.0
2019,E07000216,Waverley,South East,E,34901.0
2020,E07000216,Waverley,South East,E,35948.0
2021,E07000216,Waverley,South East,E,37026.0
2022,E07000216,Waverley,South East,E,38137.0
2023,E07000216,Waverley,South East,E,39281.0
2024,E07000216,Waverley,South East,E,40459.0
2010,E07000217,Woking,South East,E,24965.0
2011,E07000217,Woking,South East,E,25664.0
2012,E07000217,Woking,South East,E,26382.0
2013,E07000217,Woking,South East,E,27121.0
2014,E07000217,Woking,South East,E,27880.0
2015,E07000217,Woking,South East,E,28661.0
2016,E07000217,Woking,South East,E,29520.0
2017,E07000217,Woking,South East,E,30406.0
2018,E07000217,Woking,South East,E,31318.0
2019,E07000217,Woking,South East,E,32258.0
2020,E07000217,Woking,South East,E,33226.0
2021,E07000217,Woking,South East,E,34222.0
2022,E07000217,Woking,South East,E,35249.0
2023,E07000217,Woking,South East,E,36306.0
2024,E07000217,Woking,South East,E,37396.0
2010,E07000218,North Warwickshire,West Midlands,E,22940.0
2011,E07000218,North Warwickshire,West Midlands,E,23583.0
2012,E07000218,North Warwickshire,West Midlands,E,24243.0
2013,E07000218,North Warwickshire,West Midlands,E,24922.0
2014,E07000218,North Warwickshire,West Midlands,E,25620.0
2015,E07000218,North Warwickshire,West Midlands,E,26337.0
2016,E07000218,North Warwickshire,West Midlands,E,27127.0
2017,E07000218,North Warwickshire,West Midlands,E,27940.0
2018,E07000218,North Warwickshire,West Midlands,E,28779.0
2019,E07000218,North Warwickshire,West Midlands,E,29642.0
2020,E07000218,North Warwickshire,West Midlands,E,30531.0
2021,E07000218,North Warwickshire,West Midlands,E,31447.0
2022,E07000218,North Warwickshire,West Midlands,E,32391.0
2023,E07000218,North Warwickshire,West Midlands,E,33362.0
2024,E07000218,North Warwickshire,West Midlands,E,34363.0
2010,E07000219,Nuneaton and Bedworth,West Midlands,E,20812.0
2011,E07000219,Nuneaton and Bedworth,West Midlands,E,21395.0
2012,E07000219,Nuneaton and Bedworth,West Midlands,E,21994.0
2013,E07000219,Nuneaton and Bedworth,West Midlands,E,22610.0
2014,E07000219,Nuneaton and Bedworth,West Midlands,E,23243.0
2015,E07000219,Nuneaton and Bedworth,West Midlands,E,23894.0
2016,E07000219,Nuneaton and Bedworth,West Midlands,E,24611.0
2017,E07000219,Nuneaton and Bedworth,West Midlands,E,25349.0
2018,E07000219,Nuneaton and Bedworth,West Midlands,E,26110.0
2019,E07000219,Nuneaton and Bedworth,West Midlands,E,26893.0
2020,E07000219,Nuneaton and Bedworth,West Midlands,E,27700.0
2021,E07000219,Nuneaton and Bedworth,West Midlands,E,28531.0
2022,E07000219,Nuneaton and Bedworth,West Midlands,E,29387.0
2023,E07000219,Nuneaton and Bedworth,West Midlands,E,30268.0
2024,E07000219,Nuneaton and Bedworth,West Midlands,E,31176.0
2010,E07000220,Rugby,West Midlands,E,19134.0
2011,E07000220,Rugby,West Midlands,E,19670.0
2012,E07000220,Rugby,West Midlands,E,20220.0
2013,E07000220,Rugby,West Midlands,E,20787.0
2014,E07000220,Rugby,West Midlands,E,21369.0
2015,E07000220,Rugby,West Midlands,E,21967.0
2016,E07000220,Rugby,West Midlands,E,22626.0
2017,E07000220,Rugby,West Midlands,E,23305.0
2018,E07000220,Rugby,West Midlands,E,24004.0
2019,E07000220,Rugby,West Midlands,E,24724.0
2020,E07000220,Rugby,West Midlands,E,25466.0
2021,E07000220,Rugby,West Midlands,E,26230.0
2022,E07000220,Rugby,West Midlands,E,27016.0
2023,E07000220,Rugby,West Midlands,E,27827.0
2024,E07000220,Rugby,West Midlands,E,28662.0
2010,E07000221,Stratford-on-Avon,West Midlands,E,22600.0
2011,E07000221,Stratford-on-Avon,West Midlands,E,23233.0
2012,E07000221,Stratford-on-Avon,West Midlands,E,23883.0
2013,E07000221,Stratford-on-Avon,West Midlands,E,24552.0
2014,E07000221,Stratford-on-Avon,West Midlands,E,25239.0
2015,E07000221,Stratford-on-Avon,West Midlands,E,25946.0
2016,E07000221,Stratford-on-Avon,West Midlands,E,26725.0
2017,E07000221,Stratford-on-Avon,West Midlands,E,27526.0
2018,E07000221,Stratford-on-Avon,West Midlands,E,28352.0
2019,E07000221,Stratford-on-Avon,West Midlands,E,29203.0
2020,E07000221,Stratford-on-Avon,West Midlands,E,30079.0
2021,E07000221,Stratford-on-Avon,West Midlands,E,30981.0
2022,E07000221,Stratford-on-Avon,West Midlands,E,31911.0
2023,E07000221,Stratford-on-Avon,West Midlands,E,32868.0
2024,E07000221,Stratford-on-Avon,West Midlands,E,33854.0
2010,E07000222,Warwick,West Midlands,E,23507.0
2011,E07000222,Warwick,West Midlands,E,24166.0
2012,E07000222,Warwick,West Midlands,E,24842.0
2013,E07000222,Warwick,West Midlands,E,25538.0
2014,E07000222,Warwick,West Midlands,E,26253.0
2015,E07000222,Warwick,West Midlands,E,26988.0
2016,E07000222,Warwick,West Midlands,E,27797.0
2017,E07000222,Warwick,West Midlands,E,28631.0
2018,E07000222,Warwick,West Midlands,E,29490.0
2019,E07000222,Warwick,West Midlands,E,30375.0
2020,E07000222,Warwick,West Midlands,E,31286.0
2021,E07000222,Warwick,West Midlands,E,32225.0
2022,E07000222,Warwick,West Midlands,E,33191.0
2023,E07000222,Warwick,West Midlands,E,34187.0
2024,E07000222,Warwick,West Midlands,E,35213.0
2010,E07000223,Chichester,South East,E,26264.0
2011,E07000223,Chichester,South East,E,27000.0
2012,E07000223,Chichester,South East,E,27756.0
2013,E07000223,Chichester,South East,E,28533.0
2014,E07000223,Chichester,South East,E,29332.0
2015,E07000223,Chichester,South East,E,30153.0
2016,E07000223,Chichester,South East,E,31057.0
2017,E07000223,Chichester,South East,E,31989.0
2018,E07000223,Chichester,South East,E,32949.0
2019,E07000223,Chichester,South East,E,33937.0
2020,E07000223,Chichester,South East,E,34955.0
2021,E07000223,Chichester,South East,E,36004.0
2022,E07000223,Chichester,South East,E,37084.0
2023,E07000223,Chichester,South East,E,38197.0
2024,E07000223,Chichester,South East,E,39343.0
2010,E07000224,Crawley,South East,E,25114.0
2011,E07000224,Crawley,South East,E,25818.0
2012,E07000224,Crawley,South East,E,26541.0
2013,E07000224,Crawley,South East,E,27284.0
2014,E07000224,Crawley,South East,E,28048.0
2015,E07000224,Crawley,South East,E,28833.0
2016,E07000224,Crawley,South East,E,29698.0
2017,E07000224,Crawley,South East,E,30589.0
2018,E07000224,Crawley,South East,E,31506.0
2019,E07000224,Crawley,South East,E,32451.0
2020,E07000224,Crawley,South East,E,33425.0
2021,E07000224,Crawley,South East,E,34428.0
2022,E07000224,Crawley,South East,E,35460.0
2023,E07000224,Crawley,South East,E,36524.0
2024,E07000224,Crawley,South East,E,37620.0
2010,E07000225,Horsham,South East,E,29052.0
2011,E07000225,Horsham,South East,E,29865.0
2012,E07000225,Horsham,South East,E,30701.0
2013,E07000225,Horsham,South East,E,31561.0
2014,E07000225,Horsham,South East,E,32445.0
2015,E07000225,Horsham,South East,E,33353.0
2016,E07000225,Horsham,South East,E,34354.0
2017,E07000225,Horsham,South East,E,35384.0
2018,E07000225,Horsham,South East,E,36446.0
2019,E07000225,Horsham,South East,E,37539.0
2020,E07000225,Horsham,South East,E,38666.0
2021,E07000225,Horsham,South East,E,39825.0
2022,E07000225,Horsham,South East,E,41020.0
2023,E07000225,Horsham,South East,E,42251.0
2024,E07000225,Horsham,South East,E,43518.0
2010,E07000226,Mid Sussex,South East,E,25763.0
2011,E07000226,Mid Sussex,South East,E,26485.0
2012,E07000226,Mid Sussex,South East,E,27226.0
2013,E07000226,Mid Sussex,South East,E,27989.0
2014,E07000226,Mid Sussex,South East,E,28772.0
2015,E07000226,Mid Sussex,South East,E,29578.0
2016,E07000226,Mid Sussex,South East,E,30466.0
2017,E07000226,Mid Sussex,South East,E,31380.0
2018,E07000226,Mid Sussex,South East,E,32321.0
2019,E07000226,Mid Sussex,South East,E,33291.0
2020,E07000226,Mid Sussex,South East,E,34290.0
2021,E07000226,Mid Sussex,South East,E,35318.0
2022,E07000226,Mid Sussex,South East,E,36378.0
2023,E07000226,Mid Sussex,South East,E,37469.0
2024,E07000226,Mid Sussex,South East,E,38593.0
2010,E07000227,Worthing,South East,E,28185.0
2011,E07000227,Worthing,South East,E,28974.0
2012,E07000227,Worthing,South East,E,29785.0
2013,E07000227,Worthing,South East,E,30619.0
2014,E07000227,Worthing,South East,E,31477.0
2015,E07000227,Worthing,South East,E,32358.0
2016,E07000227,Worthing,South East,E,33329.0
2017,E07000227,Worthing,South East,E,34329.0
2018,E07000227,Worthing,South East,E,35359.0
2019,E07000227,Worthing,South East,E,36420.0
2020,E07000227,Worthing,South East,E,37512.0
2021,E07000227,Worthing,South East,E,38638.0
2022,E07000227,Worthing,South East,E,39797.0
2023,E07000227,Worthing,South East,E,40991.0
2024,E07000227,Worthing,South East,E,42220.0
2010,E07000228,Cherwell,South East,E,26999.0
2011,E07000228,Cherwell,South East,E,27755.0
2012,E07000228,Cherwell,South East,E,28533.0
2013,E07000228,Cherwell,South East,E,29331.0
2014,E07000228,Cherwell,South East,E,30153.0
2015,E07000228,Cherwell,South East,E,30997.0
2016,E07000228,Cherwell,South East,E,31927.0
2017,E07000228,Cherwell,South East,E,32885.0
2018,E07000228,Cherwell,South East,E,33871.0
2019,E07000228,Cherwell,South East,E,34887.0
2020,E07000228,Cherwell,South East,E,35934.0
2021,E07000228,Cherwell,South East,E,37012.0
2022,E07000228,Cherwell,South East,E,38122.0
2023,E07000228,Cherwell,South East,E,39266.0
2024,E07000228,Cherwell,South East,E,40444.0
2010,E07000229,Oxford,South East,E,32989.0
2011,E07000229,Oxford,South East,E,33913.0
2012,E07000229,Oxford,South East,E,34863.0
2013,E07000229,Oxford,South East,E,35839.0
2014,E07000229,Oxford,South East,E,36842.0
2015,E07000229,Oxford,South East,E,37874.0
2016,E07000229,Oxford,South East,E,39010.0
2017,E07000229,Oxford,South East,E,40180.0
2018,E07000229,Oxford,South East,E,41386.0
2019,E07000229,Oxford,South East,E,42627.0
2020,E07000229,Oxford,South East,E,43906.0
2021,E07000229,Oxford,South East,E,45223.0
2022,E07000229,Oxford,South East,E,46580.0
2023,E07000229,Oxford,South East,E,47978.0
2024,E07000229,Oxford,South East,E,49417.0
2010,E07000230,South Oxfordshire,South East,E,26724.0
2011,E07000230,South Oxfordshire,South East,E,27472.0
2012,E07000230,South Oxfordshire,South East,E,28242.0
2013,E07000230,South Oxfordshire,South East,E,29032.0
2014,E07000230,South Oxfordshire,South East,E,29845.0
2015,E07000230,South Oxfordshire,South East,E,30681.0
2016,E07000230,South Oxfordshire,South East,E,31602.0
2017,E07000230,South Oxfordshire,South East,E,32550.0
2018,E07000230,South Oxfordshire,South East,E,33526.0
2019,E07000230,South Oxfordshire,South East,E,34532.0
2020,E07000230,South Oxfordshire,South East,E,35568.0
2021,E07000230,South Oxfordshire,South East,E,36635.0
2022,E07000230,South Oxfordshire,South East,E,37734.0
2023,E07000230,South Oxfordshire,South East,E,38866.0
2024,E07000230,South Oxfordshire,South East,E,40032.0
2010,E07000231,Vale of White Horse,South East,E,24789.0
2011,E07000231,Vale of White Horse,South East,E,25483.0
2012,E07000231,Vale of White Horse,South East,E,26196.0
2013,E07000231,Vale of White Horse,South East,E,26930.0
2014,E07000231,Vale of White Horse,South East,E,27684.0
2015,E07000231,Vale of White Horse,South East,E,28459.0
2016,E07000231,Vale of White Horse,South East,E,29313.0
2017,E07000231,Vale of White Horse,South East,E,30192.0
2018,E07000231,Vale of White Horse,South East,E,31098.0
2019,E07000231,Vale of White Horse,South East,E,32031.0
2020,E07000231,Vale of White Horse,South East,E,32992.0
2021,E07000231,Vale of White Horse,South East,E,33981.0
2022,E07000231,Vale of White Horse,South East,E,35001.0
2023,E07000231,Vale of White Horse,South East,E,36051.0
2024,E07000231,Vale of White Horse,South East,E,37132.0
2010,E07000232,West Oxfordshire,South East,E,26536.0
2011,E07000232,West Oxfordshire,South East,E,27279.0
2012,E07000232,West Oxfordshire,South East,E,28043.0
2013,E07000232,West Oxfordshire,South East,E,28828.0
2014,E07000232,West Oxfordshire,South East,E,29635.0
2015,E07000232,West Oxfordshire,South East,E,30465.0
2016,E07000232,West Oxfordshire,South East,E,31379.0
2017,E07000232,West Oxfordshire,South East,E,32320.0
2018,E07000232,West Oxfordshire,South East,E,33290.0
2019,E07000232,West Oxfordshire,South East,E,34288.0
2020,E07000232,West Oxfordshire,South East,E,35317.0
2021,E07000232,West Oxfordshire,South East,E,36376.0
2022,E07000232,West Oxfordshire,South East,E,37468.0
2023,E07000232,West Oxfordshire,South East,E,38592.0
2024,E07000232,West Oxfordshire,South East,E,39750.0
2010,E08000001,Bolton,North West,E,22509.0
2011,E08000001,Bolton,North West,E,23139.0
2012,E08000001,Bolton,North West,E,23787.0
2013,E08000001,Bolton,North West,E,24453.0
2014,E08000001,Bolton,North West,E,25138.0
2015,E08000001,Bolton,North West,E,25842.0
2016,E08000001,Bolton,North West,E,26617.0
2017,E08000001,Bolton,North West,E,27416.0
2018,E08000001,Bolton,North West,E,28238.0
2019,E08000001,Bolton,North West,E,29086.0
2020,E08000001,Bolton,North West,E,29958.0
2021,E08000001,Bolton,North West,E,30857.0
2022,E08000001,Bolton,North West,E,31783.0
2023,E08000001,Bolton,North West,E,32736.0
2024,E08000001,Bolton,North West,E,33718.0
2010,E08000002,Bury,North West,E,22056.0
2011,E08000002,Bury,North West,E,22674.0
2012,E08000002,Bury,North West,E,23309.0
2013,E08000002,Bury,North West,E,23961.0
2014,E08000002,Bury,North West,E,24632.0
2015,E08000002,Bury,North West,E,25322.0
2016,E08000002,Bury,North West,E,26082.0
2017,E08000002,Bury,North West,E,26864.0
2018,E08000002,Bury,North West,E,27670.0
2019,E08000002,Bury,North West,E,28501.0
2020,E08000002,Bury,North West,E,29356.0
2021,E08000002,Bury,North West,E,30236.0
2022,E08000002,Bury,North West,E,31143.0
2023,E08000002,Bury,North West,E,32078.0
2024,E08000002,Bury,North West,E,33040.0
2010,E08000003,Manchester,North West,E,18971.0
2011,E08000003,Manchester,North West,E,19502.0
2012,E08000003,Manchester,North West,E,20048.0
2013,E08000003,Manchester,North West,E,20610.0
2014,E08000003,Manchester,North West,E,21187.0
2015,E08000003,Manchester,North West,E,21780.0
2016,E08000003,Manchester,North West,E,22434.0
2017,E08000003,Manchester,North West,E,23107.0
2018,E08000003,Manchester,North West,E,23800.0
2019,E08000003,Manchester,North West,E,24514.0
2020,E08000003,Manchester,North West,E,25250.0
2021,E08000003,Manchester,North West,E,26007.0
2022,E08000003,Manchester,North West,E,26787.0
2023,E08000003,Manchester,North West,E,27591.0
2024,E08000003,Manchester,North West,E,28419.0
2010,E08000004,Oldham,North West,E,25180.0
2011,E08000004,Oldham,North West,E,25885.0
2012,E08000004,Oldham,North West,E,26610.0
2013,E08000004,Oldham,North West,E,27355.0
2014,E08000004,Oldham,North West,E,28121.0
2015,E08000004,Oldham,North West,E,28908.0
2016,E08000004,Oldham,North West,E,29776.0
2017,E08000004,Oldham,North West,E,30669.0
2018,E08000004,Oldham,North West,E,31589.0
2019,E08000004,Oldham,North West,E,32537.0
2020,E08000004,Oldham,North West,E,33513.0
2021,E08000004,Oldham,North West,E,34518.0
2022,E08000004,Oldham,North West,E,35554.0
2023,E08000004,Oldham,North West,E,36620.0
2024,E08000004,Oldham,North West,E,37719.0
2010,E08000005,Rochdale,North West,E,21942.0
2011,E08000005,Rochdale,North West,E,22557.0
2012,E08000005,Rochdale,North West,E,23188.0
2013,E08000005,Rochdale,North West,E,23837.0
2014,E08000005,Rochdale,North West,E,24505.0
2015,E08000005,Rochdale,North West,E,25191.0
2016,E08000005,Rochdale,North West,E,25947.0
2017,E08000005,Rochdale,North West,E,26725.0
2018,E08000005,Rochdale,North West,E,27527.0
2019,E08000005,Rochdale,North West,E,28353.0
2020,E08000005,Rochdale,North West,E,29203.0
2021,E08000005,Rochdale,North West,E,30079.0
2022,E08000005,Rochdale,North West,E,30982.0
2023,E08000005,Rochdale,North West,E,31911.0
2024,E08000005,Rochdale,North West,E,32868.0
2010,E08000006,Salford,North West,E,23609.0
2011,E08000006,Salford,North West,E,24270.0
2012,E08000006,Salford,North West,E,24950.0
2013,E08000006,Salford,North West,E,25649.0
2014,E08000006,Salford,North West,E,26367.0
2015,E08000006,Salford,North West,E,27105.0
2016,E08000006,Salford,North West,E,27918.0
2017,E08000006,Salford,North West,E,28755.0
2018,E08000006,Salford,North West,E,29618.0
2019,E08000006,Salford,North West,E,30507.0
2020,E08000006,Salford,North West,E,31422.0
2021,E08000006,Salford,North West,E,32365.0
2022,E08000006,Salford,North West,E,33335.0
2023,E08000006,Salford,North West,E,34336.0
2024,E08000006,Salford,North West,E,35366.0
2010,E08000007,Stockport,North West,E,21211.0
2011,E08000007,Stockport,North West,E,21805.0
2012,E08000007,Stockport,North West,E,22416.0
2013,E08000007,Stockport,North West,E,23043.0
2014,E08000007,Stockport,North West,E,23689.0
2015,E08000007,Stockport,North West,E,24352.0
2016,E08000007,Stockport,North West,E,25082.0
2017,E08000007,Stockport,North West,E,25835.0
2018,E08000007,Stockport,North West,E,26610.0
2019,E08000007,Stockport,North West,E,27408.0
2020,E08000007,Stockport,North West,E,28230.0
2021,E08000007,Stockport,North West,E,29077.0
2022,E08000007,Stockport,North West,E,29950.0
2023,E08000007,Stockport,North West,E,30848.0
2024,E08000007,Stockport,North West,E,31774.0
2010,E08000008,Tameside,North West,E,21879.0
2011,E08000008,Tameside,North West,E,22492.0
2012,E08000008,Tameside,North West,E,23122.0
2013,E08000008,Tameside,North West,E,23769.0
2014,E08000008,Tameside,North West,E,24435.0
2015,E08000008,Tameside,North West,E,25119.0
2016,E08000008,Tameside,North West,E,25873.0
2017,E08000008,Tameside,North West,E,26649.0
2018,E08000008,Tameside,North West,E,27448.0
2019,E08000008,Tameside,North West,E,28272.0
2020,E08000008,Tameside,North West,E,29120.0
2021,E08000008,Tameside,North West,E,29994.0
2022,E08000008,Tameside,North West,E,30893.0
2023,E08000008,Tameside,North West,E,31820.0
2024,E08000008,Tameside,North West,E,32775.0
2010,E08000009,Trafford,North West,E,21198.0
2011,E08000009,Trafford,North West,E,21792.0
2012,E08000009,Trafford,North West,E,22402.0
2013,E08000009,Trafford,North West,E,23029.0
2014,E08000009,Trafford,North West,E,23674.0
2015,E08000009,Trafford,North West,E,24337.0
2016,E08000009,Trafford,North West,E,25067.0
2017,E08000009,Trafford,North West,E,25819.0
2018,E08000009,Trafford,North West,E,26594.0
2019,E08000009,Trafford,North West,E,27392.0
2020,E08000009,Trafford,North West,E,28214.0
2021,E08000009,Trafford,North West,E,29060.0
2022,E08000009,Trafford,North West,E,29932.0
2023,E08000009,Trafford,North West,E,30830.0
2024,E08000009,Trafford,North West,E,31755.0
2010,E08000010,Wigan,North West,E,25330.0
